n_document,type_document,date,famille,ligne,reference,designation,quantite,pu_achat,montant_ht,remise,marge
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PIQU,PIQUET,1.0,0.0,36.73,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,1.0,0.0,15.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PHF,PORTEUR (HORS FORFAIT),1.0,100.0,100.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-328,FACTURE,2022-12-29,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-328,FACTURE,2022-12-29,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-328,FACTURE,2022-12-29,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-327,FACTURE,2022-12-29,Services,Article,SUPSAM,SUPPLÉMENT SAMEDI,1.0,0.0,720.83,0.0,0.0
22-12-327,FACTURE,2022-12-29,Produits,Article,TAMP,FOURNITURE ET POSE TAMPONS,2.0,0.0,616.67,0.0,100.0
22-12-327,FACTURE,2022-12-29,Produits,Article,J5,JEUX DE 5 DALLES,2.0,0.0,350.0,0.0,100.0
22-12-327,FACTURE,2022-12-29,Produits,Article,PSA,POSE DE SEMELLE ADDITIONNELLE,2.0,0.0,1050.0,0.0,100.0
22-12-327,FACTURE,2022-12-29,Produits,Article,CDA,CAVEAUX DOUBLES ADDITIONNELS,2.0,0.0,3233.33,0.0,100.0
22-12-327,FACTURE,2022-12-29,Services,Article,FPM,FRAIS DE POSE MONUMENT,15.0,0.0,1875.0,0.0,0.0
22-12-327,FACTURE,2022-12-29,Produits,Article,PMCG,POSE MONUMENT A COLONNES GRAND MODELE,15.0,0.0,12487.5,0.0,100.0
22-12-326,AVOIR,2022-12-23,Produits,Article,TAM,TRANSFERT AVANT MISE EN BIERE,-1.0,0.0,-590.91,0.0,100.0
22-12-325,FACTURE,2022-12-23,Produits,Article,TAM,TRANSFERT AVANT MISE EN BIERE,1.0,0.0,590.91,0.0,100.0
22-12-324,AVOIR,2022-12-22,Produits,Article,,AVOIR,1.0,4.17,-1964.74,0.0,100.21
22-12-323,FACTURE,2022-12-20,Produits,Article,GS,GRAVURE SUPPLEMENTAIRE,21.0,12.0,252.0,0.0,0.0
22-12-323,FACTURE,2022-12-20,Services,Article,HON,HONORAIRES,1.0,0.0,416.67,0.0,0.0
22-12-323,FACTURE,2022-12-20,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,1.0,0.0,208.33,0.0,100.0
22-12-323,FACTURE,2022-12-20,Produits,Article,FRC,FRAIS DE CULTE,1.0,0.0,125.0,0.0,100.0
22-12-323,FACTURE,2022-12-20,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),1.0,0.0,541.67,0.0,100.0
22-12-323,FACTURE,2022-12-20,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,1.0,0.0,227.27,0.0,100.0
22-12-323,FACTURE,2022-12-20,Produits,Article,GAD,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,1.0,0.0,375.0,0.0,100.0
22-12-323,FACTURE,2022-12-20,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER OU CHENE  HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,1.0,0.0,666.67,0.0,100.0
22-12-323,FACTURE,2022-12-20,Produits,Article,TRAV,CREUSEMENT DE 2M EN PLEINE TERRE ET FERMETURE OU DEPOSE ET REPOSE PIERRE TOMBALE SUR CAVEAU,1.0,0.0,541.67,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,VEI,VEILLEUSE GRANIT TARN,1.0,0.0,165.83,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,P4,PROMO 4 TOMBALE ET STELE GRANIT TARN Réf : GO707933,1.0,0.0,1865.0,0.0,100.0
22-12-322,FACTURE,2022-12-16,Services,Article,HON,HONORAIRES,1.0,0.0,416.67,0.0,0.0
22-12-322,FACTURE,2022-12-16,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,1.0,0.0,208.33,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,FRC,FRAIS DE CULTE,1.0,0.0,125.0,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),1.0,0.0,541.67,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,1.0,0.0,227.27,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,GAD,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,1.0,0.0,375.0,0.0,100.0
22-12-322,FACTURE,2022-12-16,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,1.0,0.0,750.0,0.0,100.0
22-12-322,FACTURE,2022-12-16,Services,Article,CR2M,CREUSEMENT 2M,1.0,0.0,625.0,0.0,0.0
22-12-322,FACTURE,2022-12-16,Services,Article,ACH10,ACHAT CONCESSION 10 ANS,1.0,0.0,226.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,,AVOIR,1.0,0.0,-166.8,0.0,100.0
22-12-321,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-321,FACTURE,2022-12-13,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,1.0,30.0,70.0,0.0,57.14
22-12-321,FACTURE,2022-12-13,Services,Article,CR2M,CREUSEMENT 2M,1.0,0.0,380.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-321,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-321,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-321,FACTURE,2022-12-13,Produits,Article,PHF,PORTEUR (HORS FORFAIT),1.0,100.0,100.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,PHF,PORTEUR (HORS FORFAIT),1.0,100.0,100.0,0.0,0.0
22-12-321,FACTURE,2022-12-13,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Services,Article,REM,REMISE COMMERCIALE,1.0,0.0,-243.75,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,60.0,0.0,100.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,PL,PLAQUE IDENTITE,1.0,0.0,30.0,0.0,100.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,PL,PLAQUE IDENTITE,1.0,0.0,15.0,0.0,100.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PHF,PORTEUR (HORS FORFAIT),2.0,100.0,200.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PL,PLAQUE IDENTITE,2.0,0.0,30.0,0.0,100.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,1.0,30.0,70.0,0.0,57.14
22-12-320,FACTURE,2022-12-13,Services,Article,CR2M,CREUSEMENT 2M,1.0,0.0,380.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PORT,PORTEUR,3.0,85.0,255.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,1.0,215.0,180.0,0.0,-19.44
22-12-320,FACTURE,2022-12-13,Produits,Article,PHF,PORTEUR (HORS FORFAIT),2.0,100.0,200.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,PHF,PORTEUR (HORS FORFAIT),2.0,100.0,200.0,0.0,0.0
22-12-320,FACTURE,2022-12-13,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),1.0,195.0,195.0,0.0,0.0
22-12-319,FACTURE,2022-12-12,Produits,Article,F450,FOUILLE 4M50,1.0,0.0,2100.0,0.0,100.0
22-12-319,FACTURE,2022-12-12,Produits,Article,F290,FOUILLE 2M90,1.0,0.0,1350.0,0.0,100.0
22-12-319,FACTURE,2022-12-12,Produits,Article,F170,FOUILLE 1M70 (interrompu sur instruction),1.0,0.0,350.0,0.0,100.0
22-12-318,AVOIR,2022-12-08,Services,Article,REM,REMISE COMMERCIALE,-1.0,0.0,291.67,0.0,0.0
22-12-318,AVOIR,2022-12-08,Produits,Article,P5,PROMO 5 STELE P1 TARN SAINT SALVY  REF : GO709050,-1.0,0.0,-2416.67,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,CAV3,CAVEAU 3 CASES,-1.0,0.0,-2500.0,0.0,100.0
22-12-318,AVOIR,2022-12-08,Services,Article,HON,HONORAIRES,-1.0,0.0,-416.67,0.0,0.0
22-12-318,AVOIR,2022-12-08,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,-1.0,0.0,-208.33,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,FRC,FRAIS DE CULTE,-1.0,0.0,-125.0,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),-1.0,0.0,-541.67,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,-1.0,0.0,-318.18,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT",-1.0,0.0,-791.67,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,CBC,CERCUEIL EN  BOIS DE CHENE  INCLUS PIQUET ET PLAQUE GRAVEE,-1.0,0.0,-1000.0,0.0,100.0
22-12-318,AVOIR,2022-12-08,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,-1.0,0.0,-291.67,0.0,100.0
22-12-318,AVOIR,2022-12-08,Services,Article,ACPP,ACHAT CONCESSION PERPETUELLE (PANTIN),-1.0,0.0,-3806.0,0.0,0.0
22-12-317,FACTURE,2022-12-08,Services,Article,REM,REMISE COMMERCIALE,1.0,0.0,-291.67,0.0,0.0
22-12-317,FACTURE,2022-12-08,Produits,Article,P5,PROMO 5 STELE P1 TARN SAINT SALVY  REF : GO709050,1.0,0.0,2416.67,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,CAV3,CAVEAU 3 CASES,1.0,0.0,2500.0,0.0,100.0
22-12-317,FACTURE,2022-12-08,Services,Article,HON,HONORAIRES,1.0,0.0,416.67,0.0,0.0
22-12-317,FACTURE,2022-12-08,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,1.0,0.0,208.33,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,FRC,FRAIS DE CULTE,1.0,0.0,125.0,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),1.0,0.0,541.67,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,1.0,0.0,318.18,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT",1.0,0.0,791.67,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,CBC,CERCUEIL EN  BOIS DE CHENE  INCLUS PIQUET ET PLAQUE GRAVEE,1.0,0.0,1000.0,0.0,100.0
22-12-317,FACTURE,2022-12-08,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,1.0,0.0,291.67,0.0,100.0
22-12-317,FACTURE,2022-12-08,Services,Article,ACPP,ACHAT CONCESSION PERPETUELLE (PANTIN),1.0,0.0,3806.0,0.0,0.0
22-12-316,AVOIR,2022-12-07,Services,Article,REM,REMISE COMMERCIALE,1.0,0.0,-25.0,0.0,0.0
22-12-315,FACTURE,2022-12-07,Services,Article,HON,HONORAIRES,1.0,0.0,416.67,0.0,0.0
22-12-315,FACTURE,2022-12-07,Services,Article,EX1,EXHUMATION 1 CORPS,3.0,0.0,425.0,0.0,0.0
22-12-315,FACTURE,2022-12-07,Services,Article,CR2M,CREUSEMENT 2M,1.0,0.0,666.67,0.0,0.0
22-12-315,FACTURE,2022-12-07,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT",1.0,0.0,1250.0,0.0,100.0
22-12-315,FACTURE,2022-12-07,Produits,Article,TC,TAXES CONSULAIRES,1.0,0.0,42.0,0.0,100.0
22-12-315,FACTURE,2022-12-07,Produits,Article,TAE,TRANSFERT AERIEN (air france),3.0,0.0,4375.0,0.0,100.0
22-12-315,FACTURE,2022-12-07,Produits,Article,CERPEXP,CERCUEIL EXPORT EN PEUPLIER ZINGUÉ / ENVELOPPE ZINGUE,3.0,0.0,2000.0,0.0,100.0
22-12-314,FACTURE,2022-12-06,Services,Article,FCPL,FRAIS DE CREMATION PERE LACHAISE,1.0,0.0,910.0,0.0,0.0
22-12-314,FACTURE,2022-12-06,Services,Article,HON,HONORAIRES,1.0,0.0,333.33,0.0,0.0
22-12-314,FACTURE,2022-12-06,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE,1.0,0.0,250.0,0.0,100.0
