N°,Type,Date,Famille,Ligne,Référence,Désignation,Quantité,PU Achat,Montant HT,% Rem,% Marge
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-328,FACTURE,29/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-327,FACTURE,29/12/2022,Services,Article,SUPSAM,SUPPLÉMENT SAMEDI,"1,00","0,00","720,83","0,00","0,00"
N° 22-12-327,FACTURE,29/12/2022,Produits,Article,TAMP,FOURNITURE ET POSE TAMPONS,"2,00","0,00","616,67","0,00","100,00"
N° 22-12-327,FACTURE,29/12/2022,Produits,Article,J5,JEUX DE 5 DALLES,"2,00","0,00","350,00","0,00","100,00"
N° 22-12-327,FACTURE,29/12/2022,Produits,Article,PSA,POSE DE SEMELLE ADDITIONNELLE,"2,00","0,00","1050,00","0,00","100,00"
N° 22-12-327,FACTURE,29/12/2022,Produits,Article,CDA,CAVEAUX DOUBLES ADDITIONNELS,"2,00","0,00","3233,33","0,00","100,00"
N° 22-12-327,FACTURE,29/12/2022,Services,Article,FPM,FRAIS DE POSE MONUMENT,"15,00","0,00","1875,00","0,00","0,00"
N° 22-12-327,FACTURE,29/12/2022,Produits,Article,PMCG,POSE MONUMENT A COLONNES GRAND MODELE,"15,00","0,00","12487,50","0,00","100,00"
N° 22-12-326,AVOIR,23/12/2022,Produits,Article,TAM,TRANSFERT AVANT MISE EN BIERE,"-1,00","0,00","-590,91","0,00","100,00"
N° 22-12-325,FACTURE,23/12/2022,Produits,Article,TAM,TRANSFERT AVANT MISE EN BIERE,"1,00","0,00","590,91","0,00","100,00"
N° 22-12-324,AVOIR,22/12/2022,Produits,Article,,AVOIR,"1,00","4,17","-1964,74","0,00","100,21"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,GS,GRAVURE SUPPLEMENTAIRE,"21,00","12,00","252,00","0,00","0,00"
N° 22-12-323,FACTURE,20/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","227,27","0,00","100,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,GAD,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","375,00","0,00","100,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER OU CHENE  HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,"1,00","0,00","666,67","0,00","100,00"
N° 22-12-323,FACTURE,20/12/2022,Produits,Article,TRAV,CREUSEMENT DE 2M EN PLEINE TERRE ET FERMETURE OU DEPOSE ET REPOSE PIERRE TOMBALE SUR CAVEAU,"1,00","0,00","541,67","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,VEI,VEILLEUSE GRANIT TARN,"1,00","0,00","165,83","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,P4,"PROMO 4
TOMBALE ET STELE GRANIT TARN
Réf : GO707933","1,00","0,00","1865,00","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","227,27","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,GAD,GESTION ADMINISTRATIVE : DEMARCHES MAIRIE ET AUTRES,"1,00","0,00","375,00","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Produits,Article,CBP,CERCUEIL EN BOIS DE PEUPLIER HERMETIQUE INCLUS POTEAU ET PLAQUES GRAVEES,"1,00","0,00","750,00","0,00","100,00"
N° 22-12-322,FACTURE,16/12/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","625,00","0,00","0,00"
N° 22-12-322,FACTURE,16/12/2022,Services,Article,ACH10,ACHAT CONCESSION 10 ANS,"1,00","0,00","226,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,,AVOIR,"1,00","0,00","-166,80","0,00","100,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,"1,00","30,00","70,00","0,00","57,14"
N° 22-12-321,FACTURE,13/12/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","380,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"1,00","100,00","100,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"1,00","100,00","100,00","0,00","0,00"
N° 22-12-321,FACTURE,13/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-243,75","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","60,00","0,00","100,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"1,00","0,00","30,00","0,00","100,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"1,00","0,00","15,00","0,00","100,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"2,00","100,00","200,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PL,PLAQUE IDENTITE,"2,00","0,00","30,00","0,00","100,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,SUR,FRAIS FORFAITAIRE DE ROUTE ET/OU D ENLEVEMENT DU SURPLUS DE TERRE,"1,00","30,00","70,00","0,00","57,14"
N° 22-12-320,FACTURE,13/12/2022,Services,Article,CR2M,CREUSEMENT 2M,"1,00","0,00","380,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PORT,PORTEUR,"3,00","85,00","255,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CORC,CORBILLARD + CHAUFFEUR,"1,00","215,00","180,00","0,00","-19,44"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"2,00","100,00","200,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,PHF,PORTEUR (HORS FORFAIT),"2,00","100,00","200,00","0,00","0,00"
N° 22-12-320,FACTURE,13/12/2022,Produits,Article,CCHF,CORBILLARD AVEC CHAUFFEUR (HORS FORFAIT),"1,00","195,00","195,00","0,00","0,00"
N° 22-12-319,FACTURE,12/12/2022,Produits,Article,F450,FOUILLE 4M50,"1,00","0,00","2100,00","0,00","100,00"
N° 22-12-319,FACTURE,12/12/2022,Produits,Article,F290,FOUILLE 2M90,"1,00","0,00","1350,00","0,00","100,00"
N° 22-12-319,FACTURE,12/12/2022,Produits,Article,F170,"FOUILLE 1M70
(interrompu sur instruction)","1,00","0,00","350,00","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Services,Article,REM,REMISE COMMERCIALE,"-1,00","0,00","291,67","0,00","0,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,P5,"PROMO 5
STELE P1 TARN SAINT SALVY 
REF : GO709050","-1,00","0,00","-2416,67","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,CAV3,CAVEAU 3 CASES,"-1,00","0,00","-2500,00","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Services,Article,HON,HONORAIRES,"-1,00","0,00","-416,67","0,00","0,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"-1,00","0,00","-208,33","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,FRC,FRAIS DE CULTE,"-1,00","0,00","-125,00","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"-1,00","0,00","-541,67","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"-1,00","0,00","-318,18","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT","-1,00","0,00","-791,67","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,CBC,CERCUEIL EN  BOIS DE CHENE  INCLUS PIQUET ET PLAQUE GRAVEE,"-1,00","0,00","-1000,00","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Produits,Article,PFSB,POSE ET FOURNITURE SEMELLE BETON,"-1,00","0,00","-291,67","0,00","100,00"
N° 22-12-318,AVOIR,08/12/2022,Services,Article,ACPP,ACHAT CONCESSION PERPETUELLE (PANTIN),"-1,00","0,00","-3806,00","0,00","0,00"
N° 22-12-317,FACTURE,08/12/2022,Services,Article,REM,REMISE COMMERCIALE,"1,00","0,00","-291,67","0,00","0,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,P5,"PROMO 5
STELE P1 TARN SAINT SALVY 
REF : GO709050","1,00","0,00","2416,67","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,CAV3,CAVEAU 3 CASES,"1,00","0,00","2500,00","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Services,Article,HON,HONORAIRES,"1,00","0,00","416,67","0,00","0,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,THR,TOILETTE RITUELLE (TAHARA) INCLUS LINCEUL,"1,00","0,00","208,33","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,FRC,FRAIS DE CULTE,"1,00","0,00","125,00","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,4P,PORTEURS ET MAITRE DE CEREMONIE + INHUMATION (3+1),"1,00","0,00","541,67","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,TRAN,TRANSPORT LIEU DE DECES VERS CIMETIERE,"1,00","0,00","318,18","0,00","100,00"
N° 22-12-317,FACTURE,08/12/2022,Produits,Article,GA,"GESTION ADMINISTRATIVE : DEMARCHES, TRANSPORT LIEU DE DECES VERS AEROPORT","1,00","0,00","791,67","0,00","100,00"
